이름,연도,피안타,피2루타,피3루타,피홈런,FIP,K/9,BB/9,삼진율,사구율,PFR,피안타율,피장타율,경기당이닝수,P/PA,뜬공/땅볼,장타/안타
노경은,2015,57,12,1,6,37,5.66,6.33,5.71,15.4,13.9,1.34,0.258,0.403,1.2,4.09,1.34
노경은,2016,128,25,5,13,48,6.16,4.94,4.56,11.5,10.6,1.06,0.325,0.513,4.3,3.95,1.35
노경은,2017,25,5,0,4,8,8.03,4.91,4.91,10.5,10.5,1.09,0.391,0.656,1.6,3.71,0.82
노경은,2018,127,24,3,18,30,5.00,6.05,2.04,16.3,5.5,0.9,0.251,0.417,4.0,3.91,0.96
오주원,2015,31,6,0,4,12,7.38,5.4,5.89,11.5,12.5,1.26,0.392,0.62,2.0,3.93,0.68
오주원,2016,50,7,1,3,17,4.22,7.06,3.0,18.2,7.7,1.12,0.259,0.352,0.9,3.67,1.19
오주원,2017,96,22,1,10,15,4.63,6.84,1.83,17.0,4.6,0.96,0.312,0.487,1.3,3.47,0.76
오주원,2018,61,11,0,8,13,5.08,6.19,2.24,15.9,5.8,0.94,0.298,0.468,0.9,3.63,0.86
이상화,2015,69,10,0,7,25,5.42,5.73,4.09,13.7,9.8,1.09,0.309,0.448,3.9,4.11,1.38
이상화,2016,55,15,0,7,10,6.03,6.61,2.76,15.0,6.3,1.04,0.379,0.628,2.0,3.89,0.57
이상화,2017,68,12,1,4,16,3.57,7.77,2.18,20.6,5.8,1.11,0.273,0.378,0.9,3.99,0.8
이상화,2018,6,1,1,0,5,2.87,12.19,4.36,32.6,11.6,1.84,0.167,0.25,0.9,4.28,0.46
최금강,2015,77,12,1,11,37,5.39,6.12,3.71,15.9,9.6,1.09,0.234,0.377,1.2,3.91,1.27
최금강,2016,123,23,2,13,36,5.02,7.0,3.0,17.3,7.4,1.11,0.285,0.439,2.1,3.83,1.02
최금강,2017,111,16,0,15,34,6.31,5.12,3.41,12.2,8.1,0.95,0.305,0.473,2.3,3.67,1.1
최금강,2018,51,10,0,8,22,7.58,4.34,5.3,9.8,12.0,1.07,0.327,0.545,2.0,3.9,0.67
진해수,2015,29,5,0,2,16,5.35,6.35,5.08,15.6,12.5,1.27,0.282,0.388,0.7,3.9,1.84
진해수,2016,57,10,1,5,37,4.94,9.0,6.17,21.3,14.6,1.69,0.273,0.402,0.7,4.07,1.51
진해수,2017,52,11,2,6,15,4.25,8.2,2.56,21.7,6.8,1.2,0.267,0.436,0.7,3.91,1.38
진해수,2018,63,6,1,7,13,5.25,7.63,2.68,17.6,6.2,1.15,0.335,0.489,0.7,3.63,1.0
하영민,2015,48,8,1,7,12,6.01,6.49,3.12,15.7,7.5,1.07,0.348,0.573,1.9,3.79,1.5
